ID,Jahr,Betriebsteile,Vollbeschaeftigte,Lohnsumme_Mio,Anerkannte_Faelle,Faelle_Taggeld,Schwere_Unfaelle,Schwerste_Unfaelle,Invalidenrenten_UE,Invalidenrenten_80_UE,Todesfaelle_UE,Berufskrankheiten_BK,Invalidenrenten_BK,Todesfaelle_BK,Entschaedigte_Tage
23,2018,881,17601,1300,1745,895,102,19,9,2,0,42,0,6,41909
23,2019,868,17436,1293,1596,841,90,24,5,0,0,51,0,10,40653
23,2020,854,17201,1290,1510,825,83,18,6,0,1,40,0,6,39882
23,2021,838,17649,1324,1593,880,94,13,5,3,0,40,1,4,41745
24,2012,258,13885,962,1544,701,62,16,8,0,0,38,1,2,31038
24,2013,253,13753,948,1417,652,59,15,8,2,2,37,0,2,30217
24,2014,252,13882,960,1416,681,52,13,10,0,0,39,1,3,27168
24,2015,249,13690,949,1399,649,57,13,7,1,2,34,1,2,25141
24,2016,246,13062,923,1179,580,54,13,3,0,0,38,2,1,24245
24,2017,243,12921,926,1239,611,53,13,9,0,0,46,2,3,25631
24,2018,239,13564,960,1236,610,63,15,5,0,0,41,0,1,26539
24,2019,227,13233,952,1184,653,66,9,4,0,0,40,1,1,27441
24,2020,225,12802,932,964,511,58,16,2,0,1,36,1,3,26228
24,2021,224,12908,927,1022,532,53,12,2,0,0,33,0,1,26236
25,2012,6031,82453,5495,10962,3775,349,75,31,1,2,156,2,10,160375
25,2013,6089,81991,5533,10590,3796,293,79,38,0,2,160,1,12,164820
25,2014,6066,81866,5584,10329,3591,291,75,38,1,4,173,4,13,151753
25,2015,6040,80710,5509,9738,3399,329,78,39,3,4,136,3,10,151053
25,2016,5991,80789,5502,9327,3400,350,84,27,2,3,230,2,12,158153
25,2017,5962,80554,5529,9186,3442,296,72,37,3,2,293,3,15,161690
25,2018,5929,83955,5755,9583,3700,332,68,47,5,1,290,4,24,164979
25,2019,5945,85189,5900,9323,3572,314,74,28,2,0,308,2,21,153428
25,2020,5925,80936,5780,8155,3302,322,57,18,1,2,296,2,22,145651
25,2021,5894,81276,5778,8447,3421,335,51,13,2,0,312,6,20,149163
26,2012,2046,116618,8500,2871,1100,81,14,8,0,0,51,2,2,37426
26,2013,2027,115064,8434,2791,1069,62,19,4,1,1,69,3,0,37179
26,2014,2010,114679,8608,2677,1004,64,12,5,0,0,60,1,7,34755
26,2015,1981,112505,8564,2608,1019,79,18,4,0,0,56,1,3,39288
26,2016,1939,109001,8608,2426,966,72,19,0,0,0,49,0,2,36294
26,2017,1875,106252,8488,2400,927,55,14,5,0,0,65,3,1,37039
26,2018,1906,110737,8865,2570,1059,72,13,4,0,0,53,3,4,38828
26,2019,1901,112719,9134,2558,1038,77,9,6,0,0,50,4,3,35091
26,2020,1904,111408,9135,1860,801,68,16,4,0,0,39,2,3,29796
26,2021,1899,112657,9311,2189,851,59,6,3,0,0,46,0,3,28880
27,2012,758,34077,2573,1390,623,52,14,5,0,1,32,2,0,24525
27,2013,760,33541,2605,1261,540,46,10,4,0,0,30,1,3,22456
